Code fournisseur,Date modification,Nom du fournisseur,Nom commercial,Catégorie,Responsable de catégorie référent,Siret,N° intracommunautaire,N° d'immatriculation au RCS,Contact commercial,Téléphone,n° Portable ,E-Mail;;;;;;;;;
"NOC1,28/3/2025, O CAPITAINE,CAPITAINE COSMETIQUES,Hygiène corporelle,Mme Joana BRAS,	834 856 064 00037,	FR74834856064,834856064,M. Marc PILLONETTO,02 96 63 14 37,07 87 10 58 02,marc@ocapitaine.com";;;;;;;;;
SPI7,26/9/2019,5 AUTELS EARL,,Bière et cidre,M. Pierre TRIEAU,85241426700017,FR94 852414267,852414267,M. Thibault PITROU,06 46 25 04 34,06 46 25 04 34,thibault@5autels.com;;;;;;;;;
SAB1,3/3/2025,ABAFOODS,ISOLA BIO,Lait végétal,Mme Marianne BOULIER,-,IT00978660298,-,M. Dario DEPALMA ,00 390 425 594 489 93,393 35 36 83 42,amandine.sciuba@cdc-destination.com ; david.care@wessanen.com; dario.depalma@abafoods.it; Giada.Taglialatela@abafoods.it;;;;;;
SAA1,17/2/2020,ABBAYE DE FLAVIGNY,LES ANIS DE FLAVIGNY,Plaisirs sucrés,Mme Maryline DELABROSSE,39200651600018,FR96 392006516,392006516,Mme Catherine TROUBAT,03 80 96 20 88,06 28 30 06 87,catherine.troubat@anisdeflavigny.com; lydia.fleuriet@anisdeflavigny.com;;;;;;;;
SAP4,31/5/2017,ABEILLES DU PEUCH GAEC LES,,Miel,M. Dominique DERRIEN,802222760,FR31 802222760,428700942,M. Eric LACOTTE,05 55 95 08 04,,eric.lacotte068@orange.fr;;;;;;;;;
NBF4,29/10/2020,ABEILLES SANTE SAS,BALLOT FLURIN,Bien-être,Mme Stéphanie QUINTIN,38815090600013,FR38 8150906,388150906,Muriel BOURGES ,05 62 96 49 57,06 81 38 64 28,murielbourges@ballot-flurin.com; remiballot@ballot-flurin.com;;;;;;;;
FAB6,19/9/2019,ABILAT GMBH,,Fromages,M. Romain CAZORLA,-,DE291129699,-,Mme Régina HUTET ,01 60 10 57 10 ,06 07 46 63 06,info@abilat.com;regina.hutet@me.com;;;;;;;;
SAB6,25/10/2022,ABIONYSOS,SARL ABIONYSOS,Cave,M. Pierre TRIEAU,51509518000011,FR86515095180,515095180,Jean-François BABIN,02 41 59 59 03,06 07 76 79 50,abionysos@orange.fr;;;;;;;;;
"SCN4,28/6/2019,""ACEITES CANOLIVA, S.L."",,Assaisonnement,Mme Fanny DESBORDES,-,B-14552632,N/A,M. Gabino MESA ARANDA,0034 957 67 18 08,0034 627 581 661,export@canoliva.com";;;;;;;;;
SAC4,7/1/2025,ACTIBIO ,,Pâtes,M. Guillaume PAUVERT,49240061900036,FR24 492400619,492400619,M. Louis JARDEL,02 43 56 50 22,07 60 25 33 58,lj@actibio.net;;;;;;;;;
NAS5,10/7/2023,ADATRIS,ADATRIS PLANTES BIO,Bien-être,Mme Camille GUILLEMOT,51882361200016,FR21518823612,518823612,M. Olivier COURIVAUD,02 41 64 30 97,06 26 98 02 30,olivier.courivaud@adatris.fr;;;;;;;;;
NAN1,20/11/2024,ADELIA NATURE,,Equipement maison,Mme Laura MIRO,98331903900019,FR16983319039,983319039,M. Bertrand DEMEIRE,09 86 20 58 77,07 86 13 54 36,contact@jeanbouteille.fr;;;;;;;;;
NPW1,30/9/2024,ADMOR CORP,POWDER,Hygiène corporelle,Mme Joana BRAS,89193684100024,FR60891936841 ,891936841,Mme Agathe BENETEAU,06 08 26 50 19,06 08 26 50 19,agathe@natural-powder.fr;;;;;;;;;
